version,filename,review_reasons
20260505210000,20260505210000_super_app_mega_features.sql,"index missing: idx_marketplace_status (on marketplace_listings); index missing: idx_jobs_status (on job_postings); index missing: idx_support_user (on support_tickets)"
20260507200000,20260507200000_of_creator_discovery_filter.sql,"grant verification incomplete (registry transport flake)"
20260508120000,20260508120000_bots_botfather.sql,"statement classes outside the verifier; data effects (INSERT/UPDATE/DELETE)"
20260509120000,20260509120000_unified_notifications.sql,"statement classes outside the verifier; policy missing: sms_send_log|sms_send_log_self_read; table missing: sms_send_log"
20260509130000,20260509130000_notifications_followups.sql,"data effects (INSERT/UPDATE/DELETE); function missing: tg_seed_notification_preferences; function missing: tg_notify_group_message"
20260509140000,20260509140000_provider_side_notifications.sql,"data effects (INSERT/UPDATE/DELETE); function missing: tg_notify_restaurant_order; function missing: tg_notify_drivers_new_ride"
20260509150000,20260509150000_notification_logs_admin_read.sql,"policy missing: push_notification_logs|Admins can view all push logs; policy missing: email_send_log|Admins can view all email logs; policy missing: sms_send_log|Admins can view all sms logs"
20260509160000,20260509160000_hotel_detail_rpc.sql,"statement classes outside the verifier"
20260509170000,20260509170000_live_and_payout_notifications.sql,"data effects (INSERT/UPDATE/DELETE); function missing: tg_notify_live_stream_started; function missing: tg_notify_payout_status"
20260509180000,20260509180000_notifications_cron_schedule.sql,"statement classes outside the verifier"
20260509190000,20260509190000_weekly_digest_schedule.sql,"statement classes outside the verifier"
20260509200000,20260509200000_grouped_social_notifications.sql,"function missing: build_grouped_title; function missing: push_grouped_update; function missing: tg_notify_new_follower_grouped"
20260509210000,20260509210000_notifications_snooze.sql,"statement classes outside the verifier; function missing: tick_unsnooze_notifications; index missing: idx_notifications_snoozed_until (on notifications)"
20260509230000,20260509230000_make_like_trigger_nonfatal.sql,"function missing: tg_notify_post_comment_safe"
20260516120000,20260516120000_api_performance_indexes_access_rpc.sql,"index missing: idx_store_profiles_active_name (on store_profiles); index missing: idx_store_profiles_owner_created (on store_profiles); index missing: idx_store_products_store_stock_created (on store_products)"
20260518204722,20260518204722_drop_duplicate_performance_indexes.sql,"unrecognized ALTER TABLE actions"
20260518220000,20260518220000_feed_perf_and_maintenance.sql,"data effects (INSERT/UPDATE/DELETE); function missing: cleanup_old_notifications; function missing: increment_post_view_count"
20260518230000,20260518230000_saved_collections.sql,"dropped policy still live: saved_collection_posts|saved_collection_posts_select_own; dropped policy still live: saved_collection_posts|saved_collection_posts_insert_own; dropped policy still live: saved_collection_posts|saved_collection_posts_delete_own"
20260518230100,20260518230100_post_products.sql,"dropped policy still live: post_products|post_products_select_all; dropped policy still live: post_products|post_products_write_own; dropped policy still live: post_products|post_products_update_own"
20260519000000,20260519000000_user_posts_visibility_fix.sql,"policy missing: user_posts|Posts visible by visibility"
