local_version,local_filename,risk,domain,position_vs_remote_range,nearest_remote_version,nearest_delta_seconds
20260203013302,20260203013302_fb931ed1-e37a-4cb8-9735-4c02a54a44e6.sql,high,security/auth,inside_remote_range,,
20260203014556,20260203014556_e3548448-7695-4760-9bd6-c9202f144cd5.sql,high,security/auth,inside_remote_range,,
20260203023746,20260203023746_8ef5adcb-b1c5-4c87-89de-216095a24a2e.sql,high,security/auth,inside_remote_range,,
20260203024509,20260203024509_48237148-549e-4acd-83ff-c267f196c088.sql,high,security/auth,inside_remote_range,,
20260203024553,20260203024553_67ed27d8-e665-4e0e-90ec-7801e977e5f3.sql,high,security/auth,inside_remote_range,,
20260203035016,20260203035016_9a6baf43-240a-4f54-96b5-6d0397a1cd0a.sql,high,security/auth,inside_remote_range,,
20260203035504,20260203035504_83aefa21-867e-4aa6-91cd-8c68b4561fa9.sql,high,security/auth,inside_remote_range,,
20260203040052,20260203040052_8cf9df9b-0674-49fb-8aad-c8219fa8300f.sql,high,security/auth,inside_remote_range,,
20260203040559,20260203040559_c9d20df4-5df5-4ff4-b37a-d7cd6f6e9f9f.sql,high,security/auth,inside_remote_range,,
20260203041546,20260203041546_d5165abd-0140-4a42-bae9-e1817cf42f10.sql,high,security/auth,inside_remote_range,,
20260203042123,20260203042123_7a062e20-630b-40ea-9598-24718ddd4ad5.sql,high,security/auth,inside_remote_range,,
20260203042638,20260203042638_4f0ef888-7553-417e-9493-0b406bb4636d.sql,high,security/auth,inside_remote_range,,
20260203043407,20260203043407_1b668709-989f-4e07-a5ed-3deea34fc232.sql,high,security/auth,inside_remote_range,,
20260203043853,20260203043853_87e6eb95-4926-4c07-815f-a58af54f2315.sql,high,security/auth,inside_remote_range,,
20260203044803,20260203044803_99e6ab80-a3bd-469e-9cb1-1a7485e5ce60.sql,high,security/auth,inside_remote_range,,
20260203145120,20260203145120_c5fecd17-cad2-40b3-ac3c-22600caed6e2.sql,high,security/auth,inside_remote_range,,
20260203145737,20260203145737_75c92195-d70d-4079-85aa-2edc080f2d36.sql,high,security/auth,inside_remote_range,,
20260203150429,20260203150429_cf2585b7-3153-4f77-a951-98fb2b9b0418.sql,high,security/auth,inside_remote_range,,
